hosuing,food,goods,service,gender,hosuing,food,goods,service
820,114,183,154,Female,64.51612903,25.27716186,54.30267062,70.47534691
184,74,6,20,Female,64.78873239,74,23.07692308,23.58803987
921,66,1686,455,Female,29.44373402,2.990484821,78.74824848,93.92215608
488,80,103,115,Female,62.08651399,26.84563758,47.24770642,64.94001006
721,83,176,104,Female,66.51291513,22.86501377,62.85714286,60.99244736
614,55,441,193,Female,47.12202609,7.982583454,69.55835962,80.37580023
801,56,357,214,Female,56.09243697,8.931419458,62.52189142,79.23213341
396,59,61,80,Female,66.44295302,29.5,43.26241135,54.62878093
864,65,1618,352,Female,29.80338048,3.194103194,82.1319797,92.19405013
845,64,1935,414,Female,25.93615715,2.652300041,82.37547893,94.10456342
404,97,33,47,Female,69.53528399,54.80225989,41.25,40.33113267
781,47,1906,452,Female,24.51349655,1.954261954,80.83121289,94.85565535
457,103,136,108,Female,56.84079602,29.68299712,55.73770492,65.51776175
1029,71,244,189,Female,67.12328767,14.08730159,56.35103926,73.79258705
1047,90,653,298,Female,50.14367816,8.645533141,68.66456362,85.59684369
552,91,185,158,Female,55.98377282,20.96774194,53.93586006,73.83737464
718,104,583,304,Female,42.01287303,10.49445005,65.72717024,87.8580029
495,114,65,74,Female,66.17647059,45.05928854,46.76258993,52.79060008
382,77,230,147,Female,45.6937799,16.96035242,61.00795756,76.2868423
1090,59,313,177,Female,66.50396583,10.74681239,63.87755102,72.68875453
497,591,153,291,Male,32.44125326,57.10144928,34.45945946,89.96997045
839,942,302,365,Male,34.27287582,58.54568055,45.27736132,91.41617728
798,1308,668,584,Male,23.76414532,51.09375,53.35463259,96.08990667
892,842,287,395,Male,36.9205298,55.24934383,42.08211144,91.45200859
1585,781,2476,1740,Male,24.0808265,15.62937763,58.72865275,98.63493633
755,764,428,438,Male,31.65618449,46.87116564,49.42263279,93.25971093
388,655,153,233,Male,27.15185444,62.92026897,39.6373057,89.5630748
617,879,757,719,Male,20.76043069,37.32484076,51.28726287,97.19362785
248,438,22,65,Male,32.08279431,83.42857143,25.28735632,66.95316144
1641,440,6471,2063,Male,15.45925577,4.903053265,75.82610734,99.2562156
1180,1243,768,813,Male,29.47052947,44.01558074,48.57685009,96.50189194
619,684,99,204,Male,38.54296389,69.30091185,32.67326733,84.10880973
253,422,15,48,Male,34.28184282,87.01030928,23.80952381,58.33607799
661,739,71,188,Male,39.84327908,74.04809619,27.41312741,82.51285741
1981,869,1489,1032,Male,36.88326196,25.63421829,59.06386355,96.54936481
1746,746,2662,1594,Male,25.87433314,14.91403439,62.54699248,98.40269504
1865,915,5184,1767,Male,19.16555339,11.63234172,74.57919724,98.92700017
238,522,29,75,Male,27.5462963,83.38658147,27.88461538,73.13769752
1199,1095,261,344,Male,41.35908934,64.41176471,43.14049587,89.26738969
1524,964,739,1410,Male,32.86607721,30.96691295,34.38808748,97.72216717
